8 16 3
16 16 3
32 16 3
64 16 3
128 16 3
256 16 3
512 16 3
1024 16 3
2048 16 5
4096 16 1
8192 16 1
16384 16 0
32768 16 0
8 64 3
16 64 4
32 64 4
64 64 7
128 64 6
256 64 6
512 64 8
1024 64 7
2048 64 8
4096 64 0
8192 64 3
16384 64 2
32768 64 1
8 256 4
16 256 3
32 256 10
64 256 3
128 256 3
256 256 6
512 256 7
1024 256 7
2048 256 7
4096 256 7
8192 256 6
16384 256 6
32768 256 2
8 1024 3
16 1024 5
32 1024 3
64 1024 3
128 1024 3
256 1024 9
512 1024 9
1024 1024 16
2048 1024 5
4096 1024 7
8192 1024 7
16384 1024 6
32768 1024 7
